Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0.432,62.60860305,62.65942222,62.69086677,62.60181163,62.56835889,67.95458026,73.53637164,48.23822462,22.45840574,59.59192973,56.41172725,58.82706997,66.62854168
0.434,62.56815679,62.62114038,62.65414741,62.56168905,62.52937054,67.89074557,73.4513654,48.46266854,22.89830732,59.57113568,56.41162651,58.55598226,66.20415349
0.436,62.52634417,62.58146694,62.61601836,62.52018477,62.48896319,67.82563172,73.36503754,48.68392876,23.33404143,59.54884726,56.40989817,58.28614062,65.78206739
0.438,62.48318134,62.54041826,62.57649615,62.47731566,62.44715489,67.75925535,73.27741001,48.90203154,23.76563814,59.52508146,56.40655999,58.01753938,65.36227185
0.44,62.43868432,62.4980106,62.53559718,62.43309843,62.4039635,67.69163289,73.18850437,49.11700298,24.19312731,59.49985514,56.40162959,57.75017287,64.94475536
0.442,62.39286901,62.45426005,62.49333771,62.38754963,62.35940664,67.6227806,73.09834178,49.32886897,24.61653861,59.47318501,56.39512444,57.48403546,64.52950649
0.444,62.34575115,62.40918257,62.44973385,62.34068562,62.31350175,67.55271458,73.00694303,49.5376552,25.0359015,59.44508761,56.38706188,57.21912153,64.11651386
0.446,62.29734635,62.36279398,62.40480157,62.29252261,62.26626609,67.48145072,72.91432853,49.74338719,25.45124523,59.41557939,56.37745909,56.95542551,63.70576614
0.448,62.24767008,62.31510998,62.3585567,62.24307666,62.2177167,67.40900477,72.82051836,49.94609029,25.86259886,59.38467661,56.36633314,56.69294182,63.29725204
0.45,62.19673769,62.2661461,62.31101496,62.19236363,62.16787044,67.33539228,72.72553222,50.14578962,26.26999127,59.35239542,56.35370092,56.43166492,62.89096033
0.452,62.14456439,62.21591776,62.26219189,62.14039926,62.11674399,67.26062867,72.62938951,50.34251017,26.67345111,59.31875182,56.33957922,56.17158931,62.48687985
0.454,62.09116525,62.16444025,62.21210293,62.08719912,62.06435383,67.18472916,72.53210927,50.53627671,27.07300687,59.28376169,56.32398468,55.91270948,62.08499947
0.456,62.03655522,62.11172871,62.16076336,62.03277862,62.01071628,67.10770884,72.43371025,50.72711384,27.46868682,59.24744074,56.30693378,55.65501996,61.68530812
0.458,61.98074912,62.05779816,62.10818836,61.97715303,61.95584747,67.02958263,72.33421085,50.915046,27.86051906,59.20980459,56.2884429,55.39851532,61.28779479
0.46,61.92376163,62.00266349,62.05439295,61.92033746,61.89976335,66.95036528,72.23362922,51.10009742,28.24853147,59.1708687,56.26852825,55.14319012,60.8924485
0.462,61.86560732,61.94633945,61.99939203,61.86234688,61.84247971,66.87007143,72.13198318,51.28229219,28.63275178,59.13064839,56.24720595,54.88903898,60.49925834
0.464,61.80630062,61.88884068,61.94320037,61.80319611,61.78401216,66.78871551,72.02929027,51.4616542,29.0132075,59.08915887,56.22449194,54.63605651,60.10821346
0.466,61.74585585,61.83018169,61.88583261,61.74289984,61.72437615,66.70631187,71.92556776,51.63820717,29.38992597,59.0464152,56.20040205,54.38423736,59.71930303
0.468,61.68428719,61.77037683,61.82730327,61.6814726,61.66358696,66.62287465,71.82083264,51.81197466,29.76293435,59.00243234,56.17495199,54.13357621,59.33251631
0.47,61.62160869,61.70944038,61.76762674,61.61892878,61.60165971,66.5384179,71.71510164,51.98298004,30.13225959,58.95722509,56.14815732,53.88406776,58.94784258
